,sample_name,forward_primer,reverse_primer
A01,My sample 1000,T7,T7term
B01,My sample 1001,T7,T7term
C01,My sample 1002,T7,T7term
D01,My sample 1003,T7,T7term
E01,My sample 1004,T7,T7term
F01,My sample 1005,T7,T7term
G01,My sample 1006,T7,T7term
H01,My sample 1007,T7,T7term
I01,My sample 1008,T7,T7term
J01,My sample 1009,T7,T7term
K01,My sample 1010,T7,T7term
L01,My sample 1011,T7,T7term
M01,My sample 1012,T7,T7term
N01,My sample 1013,T7,T7term
O01,My sample 1014,T7,T7term
P01,My sample 1015,T7,T7term
A02,My sample 1016,T7,T7term
B02,My sample 1017,T7,T7term
C02,My sample 1018,T7,T7term
D02,My sample 1019,T7,T7term
E02,My sample 1020,T7,T7term
F02,My sample 1021,T7,T7term
G02,My sample 1022,T7,T7term
H02,My sample 1023,T7,T7term
I02,My sample 1024,T7,T7term
J02,My sample 1025,T7,T7term
K02,My sample 1026,T7,T7term
L02,My sample 1027,T7,T7term
M02,My sample 1028,T7,T7term
N02,My sample 1029,T7,T7term
O02,My sample 1030,T7,T7term
P02,My sample 1031,T7,T7term
A03,My sample 1032,T7,T7term
B03,My sample 1033,T7,T7term
C03,My sample 1034,T7,T7term
D03,My sample 1035,T7,T7term
E03,My sample 1036,T7,T7term
F03,My sample 1037,T7,T7term
G03,My sample 1038,T7,T7term
H03,My sample 1039,T7,T7term
I03,My sample 1040,T7,T7term
J03,My sample 1041,T7,T7term
K03,My sample 1042,T7,T7term
L03,My sample 1043,T7,T7term
M03,My sample 1044,T7,T7term
N03,My sample 1045,T7,T7term
O03,My sample 1046,T7,T7term
P03,My sample 1047,T7,T7term
A04,My sample 1048,T7,T7term
B04,My sample 1049,T7,T7term
C04,My sample 1050,T7,T7term
D04,My sample 1051,T7,T7term
E04,My sample 1052,T7,T7term
F04,My sample 1053,T7,T7term
G04,My sample 1054,T7,T7term
H04,My sample 1055,T7,T7term
I04,My sample 1056,T7,T7term
J04,My sample 1057,T7,T7term
K04,My sample 1058,T7,T7term
L04,My sample 1059,T7,T7term
M04,My sample 1060,T7,T7term
N04,My sample 1061,T7,T7term
O04,My sample 1062,T7,T7term
P04,My sample 1063,T7,T7term
A05,My sample 1064,T7,T7term
B05,My sample 1065,T7,T7term
C05,My sample 1066,T7,T7term
D05,My sample 1067,T7,T7term
E05,My sample 1068,T7,T7term
F05,My sample 1069,T7,T7term
G05,My sample 1070,T7,T7term
H05,My sample 1071,T7,T7term
I05,My sample 1072,T7,T7term
J05,My sample 1073,T7,T7term
K05,My sample 1074,T7,T7term
L05,My sample 1075,T7,T7term
M05,My sample 1076,T7,T7term
N05,My sample 1077,T7,T7term
O05,My sample 1078,T7,T7term
P05,My sample 1079,T7,T7term
A06,My sample 1080,T7,T7term
B06,My sample 1081,T7,T7term
C06,My sample 1082,T7,T7term
D06,My sample 1083,T7,T7term
E06,My sample 1084,T7,T7term
F06,My sample 1085,T7,T7term
G06,My sample 1086,T7,T7term
H06,My sample 1087,T7,T7term
I06,My sample 1088,T7,T7term
J06,My sample 1089,T7,T7term
K06,My sample 1090,T7,T7term
L06,My sample 1091,T7,T7term
M06,My sample 1092,T7,T7term
N06,My sample 1093,T7,T7term
O06,My sample 1094,T7,T7term
P06,My sample 1095,T7,T7term
A07,My sample 1096,T7,T7term
B07,My sample 1097,T7,T7term
C07,My sample 1098,T7,T7term
D07,My sample 1099,T7,T7term
E07,My sample 1100,T7,T7term
F07,My sample 1101,T7,T7term
G07,My sample 1102,T7,T7term
H07,My sample 1103,T7,T7term
I07,My sample 1104,T7,T7term
J07,My sample 1105,T7,T7term
K07,My sample 1106,T7,T7term
L07,My sample 1107,T7,T7term
M07,My sample 1108,T7,T7term
N07,My sample 1109,T7,T7term
O07,My sample 1110,T7,T7term
P07,My sample 1111,T7,T7term
A08,My sample 1112,T7,T7term
B08,My sample 1113,T7,T7term
C08,My sample 1114,T7,T7term
D08,My sample 1115,T7,T7term
E08,My sample 1116,T7,T7term
F08,My sample 1117,T7,T7term
G08,My sample 1118,T7,T7term
H08,My sample 1119,T7,T7term
I08,My sample 1120,T7,T7term
J08,My sample 1121,T7,T7term
K08,My sample 1122,T7,T7term
L08,My sample 1123,T7,T7term
M08,My sample 1124,T7,T7term
N08,My sample 1125,T7,T7term
O08,My sample 1126,T7,T7term
P08,My sample 1127,T7,T7term
A09,My sample 1128,T7,T7term
B09,My sample 1129,T7,T7term
C09,My sample 1130,T7,T7term
D09,My sample 1131,T7,T7term
E09,My sample 1132,T7,T7term
F09,My sample 1133,T7,T7term
G09,My sample 1134,T7,T7term
H09,My sample 1135,T7,T7term
I09,My sample 1136,T7,T7term
J09,My sample 1137,T7,T7term
K09,My sample 1138,T7,T7term
L09,My sample 1139,T7,T7term
M09,My sample 1140,T7,T7term
N09,My sample 1141,T7,T7term
O09,My sample 1142,T7,T7term
P09,My sample 1143,T7,T7term
A10,My sample 1144,T7,T7term
B10,My sample 1145,T7,T7term
C10,My sample 1146,T7,T7term
D10,My sample 1147,T7,T7term
E10,My sample 1148,T7,T7term
F10,My sample 1149,T7,T7term
G10,My sample 1150,T7,T7term
H10,My sample 1151,T7,T7term
I10,My sample 1152,T7,T7term
J10,My sample 1153,T7,T7term
K10,My sample 1154,T7,T7term
L10,My sample 1155,T7,T7term
M10,My sample 1156,T7,T7term
N10,My sample 1157,T7,T7term
O10,My sample 1158,T7,T7term
P10,My sample 1159,T7,T7term
A11,My sample 1160,T7,T7term
B11,My sample 1161,T7,T7term
C11,My sample 1162,T7,T7term
D11,My sample 1163,T7,T7term
E11,My sample 1164,T7,T7term
F11,My sample 1165,T7,T7term
G11,My sample 1166,T7,T7term
H11,My sample 1167,T7,T7term
I11,My sample 1168,T7,T7term
J11,My sample 1169,T7,T7term
K11,My sample 1170,T7,T7term
L11,My sample 1171,T7,T7term
M11,My sample 1172,T7,T7term
N11,My sample 1173,T7,T7term
O11,My sample 1174,T7,T7term
P11,My sample 1175,T7,T7term
A12,My sample 1176,T7,T7term
B12,My sample 1177,T7,T7term
C12,My sample 1178,T7,T7term
D12,My sample 1179,T7,T7term
E12,My sample 1180,T7,T7term
F12,My sample 1181,T7,T7term
G12,My sample 1182,T7,T7term
H12,My sample 1183,T7,T7term
I12,My sample 1184,T7,T7term
J12,My sample 1185,T7,T7term
